             レースID  馬番           pred_score
2444  202307010608  12  27.6406059999999982
2468  202307010609  12   40.074066000000002
2478  202307010610   7  30.7177520000000008
2494  202307010611   8  48.4324569999999994
2496  202307010612   1  30.5566700000000004
2513  202307010701   1  41.5549200000000027
2529  202307010702   5  26.8632500000000007
2533  202307010704   7  30.6288780000000003
2541  202307010705  11  43.5397760000000034
2556  202307010706   5  36.0019899999999993
2572  202307010707  11  42.5061449999999965
2579  202307010708   4  31.6022870000000005
2595  202307010709   1  40.4194760000000031
2610  202307010710   3  43.5397760000000034
2623  202307010711   1  35.6657140000000012
2632  202307010712   3  47.8732260000000025
2633  202307010801   9  39.2434769999999986
2655  202307010802   1  32.1071600000000004
2664  202307010804   7  39.5103569999999991
2671  202307010805   6  47.8290440000000032
2682  202307010807   1   42.044080000000001
2695  202307010808   1  27.5620270000000005
2711  202307010809   1  44.1843700000000013
2721  202307010810   6  35.8031459999999981
2736  202307010811  13  40.2258759999999995
2743  202307010812   5  30.8044030000000006
2754  202307010901   2  39.4029430000000005
2769  202307010902   2  27.3740300000000012
2783  202307010903  14  41.7062600000000003
2790  202307010905   2  44.5003170000000026
2796  202307010906   9  30.6288780000000003
2810  202307010907   6  39.3552129999999991
2817  202307010908  12  27.2984159999999996
2832  202307010909   6  35.1024699999999967
2844  202307010910   8  49.5455550000000002
2856  202307010911   6  28.0731600000000014
2868  202307010912  13  35.8740900000000025
2879  202307011001   9  26.5976180000000006
2893  202307011002   4            39.566986
2913  202307011003   1  30.7872599999999998
2928  202307011004   4  26.8808879999999988
2930  202307011005   9  34.9395999999999987
2948  202307011007   1  40.1994320000000016
2957  202307011008   1  33.0614300000000014
2974  202307011009   1  47.8290440000000032
2979  202307011010   8  40.5297199999999975
3006  202307011011  13  28.0422019999999996
3011  202307011012   7  35.8657650000000032
3030  202307011101  15  66.1660159999999991
3033  202307011102   8  31.5291479999999993
3049  202307011103  11  68.3177950000000038
3068  202307011105   4  47.9897100000000023
3081  202307011106   5  27.0522920000000013
3100  202307011107   5  41.7525899999999979
3117  202307011108   1  32.0613669999999971
3127  202307011109   2  31.1072619999999986
3129  202307011110   6  34.9395999999999987
3145  202307011111  16  42.2779430000000005
3156  202307011112   5   44.371220000000001
3174  202307011201   3  39.3613969999999966
3191  202307011202   6  31.0354899999999994
3208  202307011203  14  26.9711500000000015
3213  202307011204   5  39.4062199999999976
3217  202307011205  11  34.9395999999999987
3232  202307011207   5  39.6549600000000027
3243  202307011208   3  44.4792249999999996
3260  202307011209  13  42.5530240000000006
3267  202307011210   6  27.6764130000000002
3275  202307011211   8  43.5397760000000034
3283  202307011212  10  26.3986359999999998
3303  202307020101  15  30.7869400000000013
3319  202307020102   5  40.7079799999999992
3339  202307020103  13  27.6244680000000002
3357  202307020104  15   30.795501999999999
3371  202307020105   8  44.1564449999999979
3379  202307020106   8  39.8737500000000011
3398  202307020107   8  48.1359199999999987
3402  202307020108  10  42.5532949999999985
3425  202307020109   3  27.0087830000000011
3429  202307020110   9  43.5397760000000034
3441  202307020111   9  30.8514540000000004
3465  202307020112   3  35.9103160000000017
3470  202307020201   8  39.2434769999999986
3492  202307020202   5  30.8059219999999989
3509  202307020203   2  42.1244659999999982
3530  202307020204  14  35.9695469999999986
3537  202307020205  11  49.2464900000000014
3555  202307020206   2  27.3510509999999982
3567  202307020207   6  43.8606150000000028
3576  202307020208   3  40.0082170000000019
3586  202307020209   8  31.1383480000000006
3605  202307020210   7            31.493233
3615  202307020211  11  44.7625269999999986
3637  202307020212  13  31.7034440000000011
3653  202307020301   2  66.3434400000000011
3659  202307020302  11  26.5935839999999999
3673  202307020303   4  39.5794870000000003
3701  202307020304  12  43.8609050000000025
3704  202307020305   5  26.4777529999999999
3731  202307020306   1  39.5119800000000012
3738  202307020307   7  41.8705830000000034
3744  202307020308   1            31.677937
3768  202307020309   7            40.042313
3785  202307020310  11  36.0514829999999975
3796  202307020311   9  31.8662449999999993
3816  202307020312  11  31.5486180000000012
3833  202307020401  10  27.3610059999999997
3841  202307020402   5  41.9403399999999991
3852  202307020403   6  31.9077839999999995
3872  202307020404   6  40.4801059999999993
3893  202307020405   4  68.8680039999999991
3900  202307020406  15  35.6425669999999997
3915  202307020407  10  40.0184300000000022
3930  202307020408  10   44.762515999999998
3940  202307020409   7  35.2623800000000003
3947  202307020410   6  30.6718030000000006
3968  202307020411  11  40.9299620000000033
3978  202307020412  14  26.2388300000000001
3989  202307020501   3  38.9778900000000021
4014  202307020502   9  30.5320569999999982
4023  202307020503   8  39.2716199999999986
4034  202307020504   4  30.7957569999999983
4069  202307020505   4  48.8159399999999977
4081  202307020506   5  35.2592539999999985
4087  202307020507  10  32.1573300000000017
4103  202307020508   1  39.3179360000000031
4119  202307020509   9  44.1401899999999969
4125  202307020510   8  49.0991330000000019
4144  202307020511  16  41.4425960000000018
4161  202307020512  10  26.8732989999999994
4174  202307020601   3   31.084579999999999
4182  202307020602  11  41.1269599999999969
4201  202307020603  12            26.889246
4228  202307020604   5  44.0453150000000022
4236  202307020605   7   39.421795000000003
4253  202307020606  14  31.1104430000000001
4259  202307020607   1  48.2175900000000013
4271  202307020608  12  27.0980570000000007
4286  202307020609   3  47.5632820000000009
4301  202307020610   1  41.5177699999999987
4310  202307020611  13  26.9584299999999999
4331  202307020612   1  31.1783220000000014
4340  202307030101   7  30.3632199999999983
4352  202307030102   6  39.4969800000000006
4377  202307030103  12  27.1896340000000016
4393  202307030104   1   44.361893000000002
4408  202307030107  13  35.5307299999999984
4418  202307030108   2  39.2686729999999997
